case_id,timestamp,crime_type,location,ip_address,user_id,device_type,amount_lost,status
CC0053,2026-04-20 08:41:24,Phishing,Chandigarh,192.168.120.52,U3876,Laptop,24018,Closed
CC0054,2026-04-11 08:41:24,Identity Theft,Bangalore,192.168.32.227,U1607,Mobile,12541,Under Investigation
CC0055,2026-03-06 08:41:24,Identity Theft,Chandigarh,192.168.122.193,U3042,Laptop,11599,Open
CC0056,2026-04-29 08:41:24,Identity Theft,Bangalore,192.168.30.194,U1189,Laptop,30263,Under Investigation
CC0057,2026-03-23 08:41:24,Phishing,Bangalore,192.168.155.180,U9029,Mobile,1522,Closed
CC0058,2026-03-12 08:41:24,UPI Fraud,Chandigarh,192.168.111.166,U8019,Laptop,44778,Closed
CC0059,2026-04-30 08:41:24,Phishing,Mumbai,192.168.143.91,U4842,Mobile,8371,Closed
CC0060,2026-03-15 08:41:24,UPI Fraud,Bangalore,192.168.79.226,U8363,Desktop,47045,Closed
CC0061,2026-05-01 08:41:24,Identity Theft,Chandigarh,192.168.163.94,U2564,Mobile,17921,Open
CC0062,2026-03-23 08:41:24,Identity Theft,Bangalore,192.168.156.247,U3592,Desktop,42285,Closed
CC0063,2026-03-13 08:41:24,Phishing,Chandigarh,192.168.226.216,U8794,Mobile,30988,Closed
CC0064,2026-05-03 08:41:24,Ransomware,Delhi,192.168.225.90,U3733,Laptop,34572,Open
CC0065,2026-03-07 08:41:24,Identity Theft,Chandigarh,192.168.187.215,U5924,Laptop,3190,Under Investigation
CC0066,2026-03-31 08:41:24,UPI Fraud,Bangalore,192.168.79.96,U6169,Mobile,41447,Closed
CC0067,2026-03-12 08:41:24,Ransomware,Chandigarh,192.168.142.143,U2674,Mobile,41629,Closed
CC0068,2026-04-03 08:41:24,Identity Theft,Mumbai,192.168.140.4,U1029,Laptop,13583,Under Investigation
CC0069,2026-04-23 08:41:24,Phishing,Mumbai,192.168.12.112,U1648,Desktop,20235,Closed
CC0070,2026-03-21 08:41:24,Ransomware,Chandigarh,192.168.199.225,U7263,Desktop,37673,Under Investigation
CC0071,2026-03-10 08:41:24,Ransomware,Mumbai,192.168.153.95,U8719,Desktop,28322,Under Investigation
CC0072,2026-03-11 08:41:24,Ransomware,Chandigarh,192.168.155.231,U7146,Mobile,20684,Closed
CC0073,2026-04-29 08:41:24,Ransomware,Bangalore,192.168.131.21,U5034,Laptop,32064,Under Investigation
CC0074,2026-03-23 08:41:24,Ransomware,Bangalore,192.168.89.179,U8940,Laptop,28364,Closed
CC0075,2026-04-29 08:41:24,Identity Theft,Chandigarh,192.168.168.90,U3895,Desktop,34201,Open
CC0076,2026-04-09 08:41:24,Phishing,Chandigarh,192.168.88.98,U4212,Desktop,23188,Closed
CC0077,2026-03-17 08:41:24,UPI Fraud,Chandigarh,192.168.185.204,U5393,Desktop,24747,Under Investigation
CC0078,2026-03-23 08:41:24,Phishing,Bangalore,192.168.145.228,U1847,Laptop,11169,Closed
CC0079,2026-04-27 08:41:24,Phishing,Delhi,192.168.239.222,U4534,Mobile,711,Closed
CC0080,2026-04-08 08:41:24,Phishing,Chandigarh,192.168.214.132,U6730,Desktop,6593,Under Investigation
CC0081,2026-04-04 08:41:24,Identity Theft,Chandigarh,192.168.197.87,U1356,Desktop,41980,Open
CC0082,2026-04-22 08:41:24,UPI Fraud,Chandigarh,192.168.65.252,U3556,Laptop,41452,Closed
CC0083,2026-04-16 08:41:24,Phishing,Delhi,192.168.15.133,U3506,Laptop,25171,Under Investigation
CC0084,2026-03-23 08:41:24,Identity Theft,Mumbai,192.168.159.19,U9023,Mobile,10156,Closed
CC0085,2026-04-12 08:41:24,Ransomware,Chandigarh,192.168.184.11,U4287,Mobile,5364,Closed
CC0086,2026-05-03 08:41:24,UPI Fraud,Mumbai,192.168.81.245,U2629,Mobile,5230,Closed
CC0087,2026-04-18 08:41:24,Identity Theft,Chandigarh,192.168.11.40,U4379,Mobile,21773,Closed
CC0088,2026-04-22 08:41:24,Phishing,Bangalore,192.168.171.178,U9986,Mobile,27063,Under Investigation
CC0089,2026-04-03 08:41:24,Identity Theft,Mumbai,192.168.190.87,U9035,Mobile,35869,Under Investigation
CC0090,2026-04-16 08:41:24,Identity Theft,Bangalore,192.168.14.5,U7700,Mobile,36525,Closed
CC0091,2026-04-16 08:41:24,Phishing,Delhi,192.168.165.215,U1801,Mobile,23396,Closed
CC0092,2026-04-22 08:41:24,Identity Theft,Chandigarh,192.168.24.162,U8694,Desktop,30216,Closed
CC0093,2026-04-12 08:41:24,Identity Theft,Delhi,192.168.32.148,U8671,Mobile,34419,Under Investigation
CC0094,2026-05-01 08:41:24,Identity Theft,Delhi,192.168.180.107,U6708,Desktop,22786,Under Investigation
CC0095,2026-05-04 08:41:24,Ransomware,Mumbai,192.168.229.194,U9706,Mobile,17743,Open
CC0096,2026-04-15 08:41:24,Phishing,Bangalore,192.168.72.110,U9892,Desktop,3392,Open
CC0097,2026-04-29 08:41:24,Ransomware,Bangalore,192.168.88.217,U7406,Laptop,40755,Open
CC0098,2026-03-28 08:41:24,Ransomware,Bangalore,192.168.43.149,U1109,Mobile,1647,Closed
CC0099,2026-03-13 08:41:24,Phishing,Mumbai,192.168.13.117,U6581,Desktop,29153,Closed
CC0100,2026-04-06 08:41:24,Ransomware,Bangalore,192.168.234.23,U7662,Mobile,25512,Under Investigation
CC0101,2026-03-30 08:41:24,UPI Fraud,Delhi,192.168.58.187,U7121,Laptop,40218,Open
CC0102,2026-03-31 08:41:24,Identity Theft,Bangalore,192.168.176.170,U6631,Mobile,38699,Open
CC0103,2026-04-18 08:41:24,Identity Theft,Delhi,192.168.182.107,U1254,Mobile,1530,Closed
CC0104,2026-03-29 08:41:24,Phishing,Chandigarh,192.168.130.251,U4431,Mobile,39189,Under Investigation
CC0105,2026-04-27 08:41:24,Identity Theft,Mumbai,192.168.244.63,U7738,Laptop,5098,Closed
CC0106,2026-04-06 08:41:24,Phishing,Bangalore,192.168.236.92,U6828,Desktop,22661,Open
CC0107,2026-04-05 08:41:24,Ransomware,Delhi,192.168.220.61,U7026,Desktop,5161,Closed
CC0108,2026-05-05 08:41:24,Ransomware,Delhi,192.168.154.181,U5391,Laptop,43248,Open
CC0109,2026-04-28 08:41:24,Phishing,Chandigarh,192.168.115.125,U5143,Desktop,18144,Under Investigation
CC0110,2026-04-21 08:41:24,Ransomware,Mumbai,192.168.220.180,U2445,Desktop,11012,Under Investigation
CC0111,2026-04-30 08:41:24,Ransomware,Chandigarh,192.168.174.84,U5476,Desktop,49583,Closed
CC0112,2026-03-06 08:41:24,Ransomware,Chandigarh,192.168.64.119,U4313,Laptop,573,Under Investigation
CC0113,2026-03-19 08:41:24,UPI Fraud,Mumbai,192.168.17.12,U7811,Mobile,18406,Closed
CC0114,2026-04-19 08:41:24,Ransomware,Chandigarh,192.168.9.145,U2231,Desktop,35435,Open
CC0115,2026-04-24 08:41:24,Phishing,Chandigarh,192.168.211.114,U3404,Laptop,46109,Open
CC0116,2026-03-16 08:41:24,Ransomware,Mumbai,192.168.92.188,U9277,Desktop,15295,Under Investigation
CC0117,2026-03-27 08:41:24,Phishing,Chandigarh,192.168.47.86,U5399,Desktop,31376,Closed
CC0118,2026-04-28 08:41:24,Phishing,Bangalore,192.168.219.118,U8263,Desktop,9788,Closed
CC0119,2026-04-28 08:41:24,Identity Theft,Mumbai,192.168.235.134,U4368,Desktop,49013,Open
CC0120,2026-03-11 08:41:24,Ransomware,Delhi,192.168.234.88,U4812,Mobile,17567,Under Investigation
CC0121,2026-03-09 08:41:24,Identity Theft,Bangalore,192.168.158.174,U2102,Mobile,23958,Under Investigation
CC0122,2026-04-12 08:41:24,Ransomware,Chandigarh,192.168.17.201,U9390,Mobile,33702,Open
CC0123,2026-04-28 08:41:24,UPI Fraud,Chandigarh,192.168.222.123,U6051,Mobile,20802,Closed
CC0124,2026-03-15 08:41:24,Phishing,Mumbai,192.168.24.180,U3651,Desktop,45035,Under Investigation
CC0125,2026-04-09 08:41:24,Ransomware,Mumbai,192.168.97.143,U4874,Laptop,20402,Open
CC0126,2026-03-17 08:41:24,UPI Fraud,Delhi,192.168.125.115,U5191,Laptop,47462,Closed
CC0127,2026-03-10 08:41:24,Phishing,Mumbai,192.168.38.122,U6555,Laptop,18997,Closed
CC0128,2026-04-20 08:41:24,Ransomware,Chandigarh,192.168.255.93,U1434,Mobile,41552,Under Investigation
CC0129,2026-03-24 08:41:24,Phishing,Mumbai,192.168.224.155,U1702,Desktop,46724,Closed
CC0130,2026-03-15 08:41:24,Ransomware,Chandigarh,192.168.103.114,U6410,Mobile,36207,Open
CC0131,2026-03-13 08:41:24,Identity Theft,Delhi,192.168.67.71,U9461,Mobile,23011,Open
CC0132,2026-04-09 08:41:24,Phishing,Delhi,192.168.251.187,U1680,Desktop,15229,Closed
CC0133,2026-03-07 08:41:24,Phishing,Bangalore,192.168.27.11,U2593,Laptop,11714,Open
CC0134,2026-04-22 08:41:24,Identity Theft,Bangalore,192.168.149.185,U9411,Desktop,24370,Closed
CC0135,2026-04-01 08:41:24,Phishing,Mumbai,192.168.34.132,U5602,Desktop,32315,Under Investigation
CC0136,2026-05-04 08:41:24,UPI Fraud,Bangalore,192.168.252.217,U7902,Desktop,4451,Closed
CC0137,2026-03-25 08:41:24,Ransomware,Chandigarh,192.168.123.40,U8574,Desktop,45655,Closed
CC0138,2026-03-31 08:41:24,Ransomware,Chandigarh,192.168.131.8,U3658,Desktop,3192,Under Investigation
CC0139,2026-04-05 08:41:24,Ransomware,Mumbai,192.168.185.216,U1845,Desktop,41990,Open
CC0140,2026-04-23 08:41:24,Identity Theft,Mumbai,192.168.95.234,U3493,Desktop,3364,Open
CC0141,2026-03-23 08:41:24,Identity Theft,Bangalore,192.168.48.140,U3378,Mobile,35437,Open
CC0142,2026-04-09 08:41:24,UPI Fraud,Delhi,192.168.234.148,U9312,Laptop,9649,Closed
CC0143,2026-03-24 08:41:24,Phishing,Bangalore,192.168.126.17,U4824,Desktop,7706,Under Investigation
CC0144,2026-03-10 08:41:24,Identity Theft,Bangalore,192.168.224.93,U5893,Laptop,8792,Closed
CC0145,2026-05-04 08:41:24,Ransomware,Mumbai,192.168.116.20,U4560,Desktop,39274,Open
CC0146,2026-04-04 08:41:24,Identity Theft,Mumbai,192.168.249.25,U5761,Desktop,14371,Under Investigation
CC0147,2026-04-13 08:41:24,Ransomware,Delhi,192.168.13.52,U6953,Desktop,44657,Closed
CC0148,2026-03-29 08:41:24,Ransomware,Delhi,192.168.100.41,U1927,Laptop,13421,Open
CC0149,2026-05-03 08:41:24,Phishing,Delhi,192.168.235.83,U9182,Desktop,19491,Closed
CC0150,2026-03-06 08:41:24,Phishing,Bangalore,192.168.120.28,U6001,Desktop,27117,Open
CC0151,2026-03-12 08:41:24,Phishing,Mumbai,192.168.3.89,U8571,Mobile,47400,Closed
CC0152,2026-03-19 08:41:24,UPI Fraud,Delhi,192.168.119.185,U5868,Desktop,40157,Closed
CC0153,2026-04-30 08:41:24,Identity Theft,Delhi,192.168.20.45,U5930,Mobile,31461,Open
CC0154,2026-03-19 08:41:24,UPI Fraud,Delhi,192.168.84.148,U1579,Laptop,25117,Open
CC0155,2026-03-29 08:41:24,Identity Theft,Chandigarh,192.168.42.84,U4280,Desktop,5327,Closed
CC0156,2026-04-07 08:41:24,UPI Fraud,Chandigarh,192.168.148.244,U4017,Desktop,17401,Open
CC0157,2026-03-23 08:41:24,Ransomware,Chandigarh,192.168.52.58,U1622,Laptop,22781,Open
CC0158,2026-03-18 08:41:24,Ransomware,Chandigarh,192.168.200.99,U3431,Desktop,32041,Under Investigation
CC0159,2026-04-14 08:41:24,UPI Fraud,Bangalore,192.168.211.236,U1546,Mobile,13829,Closed
CC0160,2026-04-25 08:41:24,Identity Theft,Chandigarh,192.168.103.235,U5755,Mobile,6451,Open
CC0161,2026-03-18 08:41:24,Phishing,Bangalore,192.168.139.81,U5375,Desktop,12645,Closed
CC0162,2026-04-25 08:41:24,Phishing,Mumbai,192.168.99.74,U7926,Laptop,9905,Open
CC0163,2026-04-09 08:41:24,UPI Fraud,Chandigarh,192.168.110.82,U3205,Mobile,40279,Open
CC0164,2026-04-30 08:41:24,Phishing,Mumbai,192.168.65.190,U2537,Laptop,43849,Open
CC0165,2026-04-01 08:41:24,Ransomware,Mumbai,192.168.133.41,U1822,Mobile,36692,Open
CC0166,2026-04-02 08:41:24,Identity Theft,Mumbai,192.168.170.238,U7132,Mobile,4415,Under Investigation
CC0167,2026-04-09 08:41:24,Identity Theft,Delhi,192.168.11.196,U4321,Laptop,49501,Open
CC0168,2026-05-02 08:41:24,Ransomware,Chandigarh,192.168.252.86,U9847,Mobile,36478,Under Investigation
CC0169,2026-03-12 08:41:24,Ransomware,Mumbai,192.168.60.220,U4150,Desktop,13506,Under Investigation
CC0170,2026-04-24 08:41:24,Identity Theft,Delhi,192.168.165.146,U6671,Desktop,1741,Open
CC0171,2026-03-11 08:41:24,Identity Theft,Chandigarh,192.168.172.49,U9981,Mobile,48451,Closed
CC0172,2026-03-10 08:41:24,Phishing,Chandigarh,192.168.201.33,U2455,Laptop,25962,Under Investigation
CC0173,2026-03-27 08:41:24,Phishing,Chandigarh,192.168.203.101,U1141,Laptop,11091,Open
CC0174,2026-04-07 08:41:24,Phishing,Bangalore,192.168.174.251,U3103,Mobile,36015,Under Investigation
CC0175,2026-04-28 08:41:24,Ransomware,Delhi,192.168.162.138,U1905,Desktop,20502,Closed
CC0176,2026-04-05 08:41:24,UPI Fraud,Delhi,192.168.115.243,U5806,Laptop,21182,Open
CC0177,2026-03-10 08:41:24,Ransomware,Bangalore,192.168.96.16,U6126,Laptop,46125,Open
CC0178,2026-03-22 08:41:24,Phishing,Bangalore,192.168.222.15,U6368,Mobile,29313,Under Investigation
CC0179,2026-04-30 08:41:24,Ransomware,Mumbai,192.168.109.82,U6318,Laptop,19018,Open
CC0180,2026-04-13 08:41:24,Identity Theft,Delhi,192.168.41.141,U4668,Mobile,39032,Open
CC0181,2026-03-11 08:41:24,UPI Fraud,Bangalore,192.168.99.33,U3840,Desktop,11301,Closed
CC0182,2026-04-18 08:41:24,Ransomware,Delhi,192.168.150.140,U5088,Desktop,32895,Open
CC0183,2026-03-10 08:41:24,Phishing,Chandigarh,192.168.230.246,U7068,Desktop,36026,Open
CC0184,2026-03-10 08:41:24,UPI Fraud,Chandigarh,192.168.230.150,U5476,Laptop,38721,Closed
CC0185,2026-03-07 08:41:24,Identity Theft,Chandigarh,192.168.165.80,U3997,Mobile,21345,Closed
CC0186,2026-04-08 08:41:24,UPI Fraud,Bangalore,192.168.159.35,U9226,Laptop,2240,Closed
CC0187,2026-03-19 08:41:24,UPI Fraud,Bangalore,192.168.175.196,U1201,Laptop,46401,Closed
CC0188,2026-04-26 08:41:24,UPI Fraud,Delhi,192.168.90.168,U2892,Desktop,43591,Under Investigation
CC0189,2026-04-17 08:41:24,Phishing,Chandigarh,192.168.13.97,U4115,Desktop,45990,Under Investigation
CC0190,2026-03-21 08:41:24,UPI Fraud,Mumbai,192.168.42.118,U7012,Desktop,34130,Open
CC0191,2026-03-08 08:41:24,Ransomware,Chandigarh,192.168.93.59,U9179,Laptop,10549,Under Investigation
CC0192,2026-03-31 08:41:24,Identity Theft,Chandigarh,192.168.78.74,U2981,Desktop,30312,Under Investigation
CC0193,2026-03-08 08:41:24,UPI Fraud,Bangalore,192.168.30.69,U6219,Laptop,33882,Closed
CC0194,2026-03-14 08:41:24,Phishing,Chandigarh,192.168.98.208,U6984,Desktop,40170,Under Investigation
CC0195,2026-04-05 08:41:24,Ransomware,Delhi,192.168.172.134,U6312,Laptop,24102,Closed
CC0196,2026-03-28 08:41:24,UPI Fraud,Delhi,192.168.152.158,U4268,Laptop,22054,Closed
CC0197,2026-04-08 08:41:24,Phishing,Chandigarh,192.168.50.133,U5020,Mobile,47535,Under Investigation
CC0198,2026-03-26 08:41:24,Identity Theft,Chandigarh,192.168.198.9,U9915,Mobile,21485,Under Investigation
CC0199,2026-05-03 08:41:24,Ransomware,Mumbai,192.168.192.156,U1202,Mobile,28102,Open
CC0200,2026-05-04 08:41:24,Identity Theft,Bangalore,192.168.142.216,U6407,Mobile,35805,Open
CC0201,2026-04-09 08:41:24,Identity Theft,Bangalore,192.168.7.139,U9136,Desktop,14671,Closed
CC0202,2026-04-14 08:41:24,Identity Theft,Mumbai,192.168.68.253,U3742,Laptop,1880,Closed
CC0203,2026-03-06 08:41:24,Ransomware,Mumbai,192.168.207.90,U8170,Desktop,11218,Closed
CC0204,2026-05-05 08:41:24,UPI Fraud,Mumbai,192.168.57.183,U2728,Desktop,33825,Open
CC0205,2026-03-18 08:41:24,Identity Theft,Mumbai,192.168.198.38,U8106,Desktop,20234,Open
CC0206,2026-03-31 08:41:24,Ransomware,Mumbai,192.168.206.216,U4945,Laptop,44876,Closed
CC0207,2026-03-12 08:41:24,UPI Fraud,Mumbai,192.168.113.226,U4032,Laptop,13370,Closed
CC0208,2026-04-17 08:41:24,Phishing,Chandigarh,192.168.152.117,U1095,Laptop,38976,Open
CC0209,2026-03-14 08:41:24,Identity Theft,Chandigarh,192.168.32.93,U9086,Laptop,7486,Open
CC0210,2026-04-18 08:41:24,Phishing,Chandigarh,192.168.23.241,U5866,Desktop,26486,Closed
CC0211,2026-03-18 08:41:24,Identity Theft,Chandigarh,192.168.80.169,U9651,Laptop,2631,Under Investigation
CC0212,2026-03-14 08:41:24,UPI Fraud,Chandigarh,192.168.155.51,U6864,Desktop,2078,Open
CC0213,2026-03-23 08:41:24,Phishing,Chandigarh,192.168.81.218,U6247,Laptop,22361,Closed
CC0214,2026-04-08 08:41:24,UPI Fraud,Delhi,192.168.97.144,U4841,Desktop,684,Closed
CC0215,2026-03-15 08:41:24,Identity Theft,Bangalore,192.168.233.169,U6193,Mobile,29479,Open
CC0216,2026-04-01 08:41:24,UPI Fraud,Mumbai,192.168.38.32,U1100,Mobile,23032,Under Investigation
CC0217,2026-04-14 08:41:24,Ransomware,Mumbai,192.168.146.137,U7650,Laptop,31478,Open
CC0218,2026-05-03 08:41:24,Ransomware,Chandigarh,192.168.45.108,U7546,Desktop,31320,Closed
CC0219,2026-04-14 08:41:24,Phishing,Chandigarh,192.168.191.219,U7904,Desktop,3832,Open
CC0220,2026-04-28 08:41:24,UPI Fraud,Mumbai,192.168.2.184,U5902,Desktop,24495,Under Investigation
CC0221,2026-04-06 08:41:24,UPI Fraud,Chandigarh,192.168.91.136,U9807,Desktop,2120,Under Investigation
CC0222,2026-04-09 08:41:24,Phishing,Delhi,192.168.251.102,U8314,Desktop,10605,Closed
CC0223,2026-04-08 08:41:24,Phishing,Bangalore,192.168.163.242,U4713,Desktop,22084,Under Investigation
CC0224,2026-04-15 08:41:24,Phishing,Delhi,192.168.92.54,U1783,Mobile,26336,Closed
CC0225,2026-03-24 08:41:24,UPI Fraud,Bangalore,192.168.189.45,U5633,Desktop,36116,Closed
CC0226,2026-04-17 08:41:24,Phishing,Chandigarh,192.168.151.125,U1041,Laptop,18623,Under Investigation
CC0227,2026-03-25 08:41:24,UPI Fraud,Chandigarh,192.168.252.83,U6077,Laptop,26991,Closed
CC0228,2026-03-28 08:41:24,UPI Fraud,Bangalore,192.168.137.169,U5911,Laptop,2288,Open
CC0229,2026-03-24 08:41:24,UPI Fraud,Bangalore,192.168.247.142,U1468,Laptop,10851,Open
CC0230,2026-03-09 08:41:24,Phishing,Chandigarh,192.168.153.139,U8919,Mobile,1008,Open
CC0231,2026-04-07 08:41:24,UPI Fraud,Bangalore,192.168.40.132,U9088,Mobile,19344,Closed
CC0232,2026-04-11 08:41:24,Phishing,Mumbai,192.168.130.98,U1901,Laptop,48336,Under Investigation
CC0233,2026-04-17 08:41:24,Phishing,Bangalore,192.168.182.221,U4379,Mobile,8193,Open
CC0234,2026-04-25 08:41:24,UPI Fraud,Mumbai,192.168.144.111,U7388,Mobile,32676,Closed
CC0235,2026-03-25 08:41:24,Ransomware,Mumbai,192.168.220.32,U4444,Mobile,20647,Closed
CC0236,2026-03-19 08:41:24,UPI Fraud,Bangalore,192.168.54.130,U8732,Mobile,16955,Open
CC0237,2026-05-02 08:41:24,Ransomware,Delhi,192.168.236.122,U8086,Desktop,14442,Under Investigation
CC0238,2026-04-15 08:41:24,Identity Theft,Mumbai,192.168.160.40,U6688,Mobile,32009,Under Investigation
CC0239,2026-04-09 08:41:24,Ransomware,Delhi,192.168.142.148,U2291,Mobile,14212,Under Investigation
CC0240,2026-04-15 08:41:24,Phishing,Chandigarh,192.168.19.27,U5136,Desktop,28809,Under Investigation
CC0241,2026-04-14 08:41:24,Ransomware,Bangalore,192.168.142.251,U6754,Laptop,26901,Closed
CC0242,2026-03-29 08:41:24,Ransomware,Mumbai,192.168.109.175,U8171,Laptop,3793,Closed
CC0243,2026-04-08 08:41:24,Ransomware,Bangalore,192.168.128.203,U2535,Laptop,6820,Under Investigation
CC0244,2026-03-07 08:41:24,Identity Theft,Bangalore,192.168.177.19,U4383,Desktop,12646,Closed
CC0245,2026-03-12 08:41:24,Ransomware,Chandigarh,192.168.71.47,U2875,Laptop,40761,Open
CC0246,2026-03-09 08:41:24,Phishing,Delhi,192.168.116.167,U3884,Desktop,27831,Closed
CC0247,2026-04-02 08:41:24,Phishing,Bangalore,192.168.14.126,U1667,Desktop,35773,Open
CC0248,2026-04-22 08:41:24,Phishing,Bangalore,192.168.212.12,U9299,Desktop,14369,Closed
CC0249,2026-04-15 08:41:24,Phishing,Mumbai,192.168.189.106,U9689,Desktop,1826,Closed
CC0250,2026-04-10 08:41:24,Phishing,Delhi,192.168.11.133,U6639,Desktop,34578,Closed
CC0251,2026-03-12 08:41:24,Ransomware,Bangalore,192.168.164.179,U6794,Desktop,34563,Under Investigation
CC0252,2026-05-04 08:41:24,Phishing,Delhi,192.168.177.90,U4058,Desktop,26343,Under Investigation
