Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,Price
Dell,Notebook,4,2.3,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,10.01257239
Apple,Ultrabook,8,1.35,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac,10.97771698
Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows,10.66017275
Dell,Ultrabook,8,1.88,0,0,141.2119981,Intel Core i7,0,512,Intel,Windows,11.14414092
HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i5,1000,0,Nvidia,Windows,10.77350144
Chuwi,Notebook,4,1.89,0,0,141.2119981,Other Intel Processor,0,0,Intel,Windows,9.47677842
Asus,Notebook,2,1.65,0,0,111.9352036,AMD Processor,0,0,AMD,Windows,9.268865851
HP,Notebook,4,2.71,0,0,127.3356746,AMD Processor,500,0,AMD,Windows,10.06006044
Dell,Ultrabook,16,1.2,1,0,276.0535301,Intel Core i7,0,512,Intel,Windows,11.50871983
Apple,Ultrabook,8,1.35,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac,10.8813143
Lenovo,Notebook,4,1.44,0,0,111.9352036,Other Intel Processor,0,0,Intel,Windows,9.493013923
Acer,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,1000,0,Intel,Others,9.880922874
Dell,Notebook,8,2.8,0,1,127.3356746,Intel Core i5,1000,128,AMD,Windows,10.86209267
HP,Notebook,4,1.86,0,0,100.4546699,Intel Core i5,1000,0,Intel,Windows,10.16728937
HP,Notebook,8,2.1,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows,10.75434592
Asus,Notebook,4,2,0,0,141.2119981,Intel Core i3,1000,0,Intel,Others,9.93914037
Dell,Gaming,16,2.65,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,11.28811452
Asus,Notebook,8,2.3,0,0,100.4546699,Intel Core i5,1000,0,Nvidia,Others,10.23512337
Acer,Notebook,4,2.2,0,1,141.2119981,Intel Core i5,0,256,Intel,Windows,10.50059068
Dell,2 in 1 Convertible,12,2.77,1,0,127.3356746,Intel Core i5,1000,0,Nvidia,Windows,10.8823158
Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,256,Intel,Mac,11.2332687
Lenovo,Notebook,4,2.2,0,0,100.4546699,Intel Core i3,0,128,Intel,Others,9.88635767
Asus,Gaming,8,3.2,0,0,127.3356746,AMD Processor,1000,256,AMD,Windows,11.14491104
Dell,Notebook,4,2.3,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows,10.43546548
Asus,Notebook,4,2.8,0,0,90.58340172,Other Intel Processor,1000,0,Nvidia,Windows,10.11974666
Lenovo,2 in 1 Convertible,4,0.69,1,1,224.1738091,Other Intel Processor,0,0,Intel,Others,9.740752129
Acer,Notebook,8,2.2,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows,10.71015269
HP,Notebook,4,1.86,0,0,141.2119981,AMD Processor,0,256,AMD,Windows,9.96324343
HP,Notebook,8,1.49,0,0,165.6321181,Intel Core i7,0,512,Intel,Windows,10.98135005
Acer,Notebook,4,2.4,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,9.926203579
Dell,Notebook,8,2.13,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows,10.61909031
HP,Notebook,4,1.91,0,0,141.2119981,Intel Core i3,0,128,Intel,Windows,10.06006044
Asus,Notebook,4,2,0,0,100.4546699,Intel Core i5,0,256,Intel,Windows,10.349205
MSI,Gaming,16,2.43,0,0,127.3356746,Intel Core i7,2000,256,Nvidia,Windows,11.77899608
Asus,Notebook,4,2,0,0,141.2119981,Intel Core i3,0,256,Intel,Others,10.00383955
Dell,Notebook,16,2.8,0,0,127.3356746,Intel Core i7,2000,256,AMD,Windows,11.14491104
Dell,Ultrabook,8,1.7,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,10.75434592
Lenovo,Notebook,8,1.7,0,1,157.3505121,Intel Core i3,0,256,Intel,Others,10.37082262
Asus,Notebook,8,1.4,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,10.82250417
HP,Notebook,8,1.86,0,0,141.2119981,Intel Core i5,0,256,Intel,Windows,10.51225262
Asus,Ultrabook,16,1.8,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Windows,11.56792715
HP,Notebook,4,1.86,0,0,100.4546699,Intel Core i3,500,0,AMD,Windows,10.05935404
HP,Notebook,4,1.44,0,0,111.9352036,Other Intel Processor,0,32,Intel,Windows,9.40928303
Lenovo,Notebook,4,1.9,0,0,141.2119981,Intel Core i5,1000,0,Intel,Windows,10.28365947
Asus,Gaming,12,3,0,0,127.3356746,Intel Core i7,1000,0,Nvidia,Others,10.83096982
Microsoft,Ultrabook,4,1.252,1,0,200.8425599,Intel Core i5,0,128,Intel,Windows,10.96857615
Dell,Ultrabook,8,1.4,0,1,165.6321181,Intel Core i7,0,256,AMD,Windows,10.83727237
Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows,10.74405424
MSI,Gaming,8,2.7,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,Windows,10.97407067
Acer,Notebook,8,2.1,0,0,111.9352036,Intel Core i3,1000,0,Intel,Windows,9.93914037
Asus,Gaming,8,2.2,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,Windows,10.83096982
Lenovo,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,2000,0,Intel,Others,10.22746491
Dell,Notebook,8,2.02,0,0,141.2119981,Intel Core i7,1000,128,Intel,Windows,10.7266625
Acer,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,Windows,10.24843803
HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,Windows,10.86004768
Dell,Ultrabook,8,1.88,0,1,141.2119981,Intel Core i5,0,256,Intel,Windows,10.97512947
Apple,Ultrabook,8,0.92,0,1,226.4155472,Intel Core i5,0,512,Intel,Mac,11.29542596
HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,10.73249342
Lenovo,Notebook,4,2.2,0,0,141.2119981,AMD Processor,0,128,AMD,Windows,9.964522443
Acer,Notebook,4,2.1,0,0,100.4546699,AMD Processor,1000,0,AMD,Windows,9.954446791
Dell,Gaming,16,2.65,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,Windows,11.18267988
HP,Ultrabook,8,1.83,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows,10.52521177
HP,Notebook,8,1.96,0,0,141.2119981,Intel Core i5,0,256,Intel,Windows,10.37080593
Asus,Gaming,16,2.2,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,Windows,11.25418997
Dell,Ultrabook,8,1.21,0,1,165.6321181,Intel Core i7,0,256,Intel,Windows,11.38348535
Asus,Gaming,8,2.45,0,0,141.2119981,AMD Processor,1000,0,AMD,Windows,10.52521177
Acer,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,Windows,10.5108023
HP,Notebook,16,1.49,0,0,165.6321181,Intel Core i7,0,512,Intel,Windows,11.06313473
Dell,Gaming,8,2.65,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows,11.06146249
Asus,Ultrabook,8,1.25,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows,10.93115363
Acer,2 in 1 Convertible,8,1.5,1,1,165.6321181,Intel Core i5,0,256,Intel,Windows,10.71726172
Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,1000,0,AMD,Others,10.372324
Dell,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,0,256,AMD,Others,10.15970992
Asus,Notebook,6,2,0,0,141.2119981,Intel Core i3,0,256,Nvidia,Windows,10.33340329
HP,Gaming,12,2.62,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,Windows,11.10565954
HP,Notebook,8,1.91,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows,10.55342238
HP,Notebook,4,2.1,0,0,141.2119981,AMD Processor,500,0,AMD,Windows,9.830632948
Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,1000,0,AMD,Others,10.44790732
HP,Ultrabook,8,1.38,0,1,165.6321181,Intel Core i7,0,256,Nvidia,Windows,10.99575173
Microsoft,Ultrabook,8,1.252,1,0,200.8425599,Intel Core i5,0,256,Intel,Windows,11.17598592
HP,Notebook,6,1.58,0,1,157.3505121,Intel Core i5,0,256,Nvidia,Windows,10.46628456
Lenovo,Notebook,4,1.85,0,0,141.2119981,Intel Core i3,1000,0,Intel,Windows,10.00359855
Asus,Ultrabook,8,1.3,0,1,157.3505121,Intel Core i7,0,256,Nvidia,Windows,11.05978745
MSI,Gaming,16,2.2,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,11.14491104
Lenovo,Notebook,8,1.58,0,1,157.3505121,Intel Core i7,0,256,Intel,Windows,11.27535839
Asus,Ultrabook,16,1.5,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,11.11601407
Dell,Ultrabook,8,1.23,1,0,276.0535301,Intel Core i7,0,256,Intel,Windows,11.2046749
Lenovo,2 in 1 Convertible,8,1.37,1,1,165.6321181,Intel Core i5,0,256,Intel,Windows,11.219074
HP,Notebook,4,1.63,0,1,111.9352036,Intel Core i5,500,0,Intel,Windows,10.55758617
Dell,Ultrabook,8,1.21,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows,11.37128263
HP,2 in 1 Convertible,8,1.26,1,1,165.6321181,Intel Core i5,0,256,Intel,Windows,11.21906685
HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i7,0,512,Intel,Windows,10.96397421
Dell,Notebook,8,2.16,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,11.00582593
Asus,Notebook,4,2,0,0,127.3356746,Intel Core i3,1000,0,Nvidia,Windows,10.31061528
Asus,Notebook,8,1.7,0,0,141.2119981,Intel Core i7,0,256,Nvidia,Windows,10.99485768
Acer,Notebook,6,2.1,1,1,141.2119981,Intel Core i3,1000,0,Intel,Windows,10.14726162
MSI,Gaming,16,1.8,0,0,141.2119981,Intel Core i7,2000,256,Nvidia,Windows,11.69046159
Lenovo,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Others,10.41969228
HP,Notebook,16,2.5,0,0,127.3356746,Intel Core i7,0,512,Nvidia,Windows,11.1231203
Acer,Notebook,4,2.1,0,0,100.4546699,AMD Processor,0,256,AMD,Windows,10.08702837
HP,Notebook,4,1.86,0,0,100.4546699,Other Intel Processor,500,0,Intel,Others,9.532389088
HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i5,1000,0,Intel,Windows,10.67506137
Asus,Notebook,4,1.65,0,0,111.9352036,AMD Processor,0,64,AMD,Windows,9.603146168
Dell,Notebook,16,2.8,0,0,127.3356746,Intel Core i7,2000,256,AMD,Windows,11.21692731
HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i5,0,256,Intel,Windows,10.80859276
Dell,Notebook,8,2.36,0,0,100.4546699,Intel Core i5,1000,0,AMD,Windows,10.43544983
Dell,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,1000,0,AMD,Windows,10.08258391
Acer,Ultrabook,8,1.6,0,1,157.3505121,Intel Core i7,0,256,Intel,Windows,10.76001809
Acer,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,0,256,Nvidia,Windows,10.32470002
HP,Notebook,8,2.05,0,0,100.4546699,Intel Core i7,1000,0,Intel,Windows,10.36915178
HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows,10.87124372
Lenovo,Notebook,4,1.9,0,0,100.4546699,Other Intel Processor,1000,0,Intel,Others,9.506417666
Asus,Gaming,8,3,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,Windows,10.81931098
Lenovo,Notebook,4,2.2,0,0,141.2119981,Intel Core i5,1000,0,Nvidia,Others,10.18816712
HP,Notebook,4,1.32,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows,10.52521177
Acer,Notebook,4,3,0,1,127.3356746,Intel Core i3,1000,0,Nvidia,Windows,10.46019626
Lenovo,Notebook,8,1.75,0,1,157.3505121,Intel Core i5,0,256,AMD,Windows,10.99308509
Lenovo,Gaming,8,2.4,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Others,10.74290415
Toshiba,Notebook,4,2.1,0,0,100.4546699,Intel Core i5,500,0,Intel,Windows,10.37581847
HP,Notebook,4,1.86,0,0,100.4546699,AMD Processor,0,256,AMD,Windows,9.88635767
Asus,Ultrabook,8,1.25,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows,10.97771698
HP,Ultrabook,8,0.97,1,1,352.4651472,Other Intel Processor,0,512,Intel,Windows,11.5834391
Asus,Notebook,4,2,0,0,141.2119981,Other Intel Processor,1000,0,Intel,Windows,9.816202684
MSI,Gaming,16,2.9,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,11.59085937
Acer,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,10.07811962
Dell,Gaming,16,2.56,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Windows,11.10586768
Dell,Gaming,8,2.62,0,0,141.2119981,Intel Core i7,0,0,Nvidia,Windows,10.77684406
Lenovo,Notebook,4,1.9,0,0,100.4546699,Intel Core i5,0,128,Intel,Windows,10.1861611
MSI,Gaming,16,2.8,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,11.51989313
HP,Ultrabook,4,1.48,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,10.96212749
HP,Notebook,6,1.91,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows,10.4036663
Lenovo,2 in 1 Convertible,4,1.74,1,1,157.3505121,Intel Core i3,0,256,Intel,Windows,10.41969228
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321181,Intel Core i5,0,256,Intel,Windows,11.15715297
Dell,2 in 1 Convertible,8,1.56,1,0,141.2119981,Intel Core i7,0,256,Intel,Windows,10.93115363
Toshiba,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,500,0,Intel,Windows,10.07811962
Asus,Notebook,4,2.03,0,0,100.4546699,AMD Processor,1000,0,AMD,Windows,9.974497588
Acer,Notebook,4,3,0,1,127.3356746,Intel Core i5,0,256,Nvidia,Windows,10.6664033
Dell,Notebook,8,2.13,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows,10.56586207
Lenovo,Gaming,16,2.5,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows,10.95935099
Acer,Notebook,4,2.1,0,0,100.4546699,Other Intel Processor,1000,0,Intel,Windows,9.827763506
MSI,Gaming,16,2.4,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,11.47054726
Acer,Notebook,4,2.1,0,0,100.4546699,Other Intel Processor,1000,0,Intel,Windows,9.871367833
Dell,Gaming,8,2.56,0,0,141.2119981,Intel Core i7,1000,128,Nvidia,Windows,10.94204737
Acer,Notebook,8,3,0,1,127.3356746,Intel Core i5,0,256,Nvidia,Windows,10.72549222
HP,Notebook,4,1.49,0,1,165.6321181,Intel Core i5,500,0,Intel,Windows,10.60095339
Huawei,Ultrabook,8,1.05,0,1,199.6920706,Intel Core i5,0,256,Intel,Windows,11.18267988
HP,Notebook,6,2.71,0,1,127.3356746,Intel Core i5,2000,0,AMD,Windows,10.52521177
Lenovo,Notebook,4,2.2,0,0,100.4546699,AMD Processor,500,0,AMD,Others,9.708902303
Toshiba,Notebook,4,2,0,0,100.4546699,Intel Core i3,500,0,Intel,Windows,10.16792352
HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i5,0,256,Nvidia,Windows,10.80319026
Dell,Notebook,8,2.3,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,10.10461124
Acer,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,0,128,Intel,Windows,10.08258391
MSI,Gaming,32,4.4,0,0,119.7232158,Intel Core i7,1000,512,Nvidia,Windows,11.91257852
Lenovo,Notebook,8,1.9,0,0,141.2119981,Intel Core i5,1000,128,AMD,Windows,10.67629214
HP,2 in 1 Convertible,8,1.29,1,1,331.2642361,Intel Core i5,0,256,Intel,Windows,11.28811452
Dell,Notebook,16,2.02,0,0,141.2119981,Intel Core i7,2000,256,AMD,Others,10.93115363
Dell,Ultrabook,8,1.23,0,0,165.6321181,Intel Core i5,0,256,Intel,Windows,11.219074
Lenovo,2 in 1 Convertible,16,1.4,1,1,316.9650604,Intel Core i7,0,512,Intel,Windows,11.49796126
Toshiba,Notebook,8,2,0,0,100.4546699,Intel Core i5,0,128,Intel,Windows,10.65138425
Xiaomi,Notebook,8,1.95,0,1,141.2119981,Intel Core i5,0,256,Nvidia,Others,11.06480418
Dell,Notebook,16,2.77,1,0,127.3356746,Intel Core i7,0,512,Nvidia,Windows,11.32092587
Dell,Notebook,16,2.06,1,0,282.4239962,Intel Core i7,0,512,Nvidia,Windows,11.75753426
Lenovo,Gaming,8,2.4,0,1,141.2119981,Intel Core i5,0,256,Nvidia,Others,10.63357207
Acer,Ultrabook,8,1.12,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows,10.87225536
Dell,Notebook,8,2.8,0,0,127.3356746,Intel Core i7,1000,128,AMD,Windows,10.96489629
Lenovo,2 in 1 Convertible,16,1.42,1,0,209.8006829,Intel Core i7,0,1000,Intel,Windows,11.92147062
Vero,Notebook,4,1.3,0,1,157.3505121,Other Intel Processor,0,0,Intel,Windows,9.536242657
Xiaomi,Ultrabook,8,1.3,0,1,165.6321181,Intel Core i5,0,256,Nvidia,Others,10.8832163
Lenovo,Notebook,8,2.8,0,0,106.1130621,Intel Core i5,0,256,Nvidia,Others,10.52378013
Dell,2 in 1 Convertible,8,1.62,1,1,165.6321181,Intel Core i7,1000,0,Intel,Windows,10.70777173
HP,Notebook,8,2.5,0,1,127.3356746,Intel Core i5,1000,0,Nvidia,Windows,10.7933916
Razer,Gaming,32,3.49,1,0,254.6713491,Intel Core i7,0,1000,Nvidia,Windows,12.69144113
HP,Notebook,8,1.49,0,0,165.6321181,Intel Core i5,0,512,Intel,Windows,10.8414521
HP,Gaming,16,3.35,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,11.2046749
HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows,10.92733319
Dell,Gaming,16,2.65,0,1,282.4239962,Intel Core i7,1000,512,Nvidia,Windows,11.49579558
Lenovo,Notebook,4,2.1,0,0,100.4546699,Intel Core i5,0,128,Intel,Windows,10.1760702
Acer,Notebook,8,2.23,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,Windows,10.58491027
Lenovo,Gaming,16,3.2,0,1,141.2119981,Intel Core i7,1000,512,Nvidia,Windows,11.4423605
Dell,Workstation,16,2.8,0,0,282.4239962,Other Intel Processor,1000,256,Nvidia,Windows,12.0000959
Lenovo,Gaming,16,2.4,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Others,11.21835895
Dell,Notebook,6,2.3,1,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,10.06006044
Dell,Ultrabook,8,1.21,1,1,331.2642361,Intel Core i7,0,256,Intel,Windows,11.55063273
Dell,Ultrabook,8,1.2,0,0,165.6321181,Intel Core i7,0,256,Intel,Windows,11.25418997
Lenovo,Notebook,8,2.2,0,0,100.4546699,Intel Core i5,0,256,Intel,Windows,10.36747814
Acer,Notebook,8,2.4,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,Others,10.63357207
Asus,Gaming,16,2.9,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,11.22477608
HP,Notebook,4,2.1,0,0,141.2119981,Intel Core i3,500,0,Intel,Others,9.830632948
Lenovo,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,0,256,Intel,Others,10.28365947
Huawei,Ultrabook,8,1.05,0,1,199.6920706,Intel Core i7,0,512,Intel,Windows,11.28811452
Dell,Ultrabook,8,1.4,0,1,165.6321181,Intel Core i7,0,256,AMD,Windows,10.81276508
Lenovo,Notebook,8,2.8,0,0,106.1130621,Intel Core i5,1000,0,Nvidia,Others,10.35398721
HP,Notebook,8,1.63,0,0,157.3505121,Intel Core i7,0,256,Nvidia,Windows,10.91384551
Dell,Ultrabook,8,1.6,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,11.0222083
Dell,2 in 1 Convertible,16,1.62,1,0,165.6321181,Intel Core i7,0,512,Intel,Windows,11.12939483
Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i5,0,256,AMD,Others,10.49374915
Lenovo,2 in 1 Convertible,8,1.74,0,1,157.3505121,Intel Core i5,0,256,Intel,Windows,10.77684406
Toshiba,Ultrabook,8,1.2,0,0,165.6321181,Intel Core i7,0,256,Intel,Windows,11.19300446
HP,Notebook,8,2.1,0,0,141.2119981,Intel Core i5,1000,0,Intel,Windows,10.65264449
Dell,Gaming,16,4.42,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,11.78198874
Acer,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,0,256,Nvidia,Windows,10.69939347
Dell,Notebook,16,2.3,1,0,141.2119981,Intel Core i7,1000,0,AMD,Windows,10.73134159
Asus,Notebook,8,2,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows,10.620652
Asus,Notebook,8,2.69,0,0,127.3356746,Intel Core i5,500,256,Nvidia,Windows,10.76790545
HP,Notebook,8,1.9,0,0,141.2119981,Intel Core i7,1000,0,AMD,Windows,11.12154549
Asus,Notebook,4,2.37,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows,9.96449738
HP,Notebook,4,2.1,0,0,100.4546699,AMD Processor,500,0,AMD,Windows,9.774653681
Lenovo,Gaming,16,3.2,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,Windows,11.28811452
Dell,Notebook,8,1.6,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows,10.73132995
Acer,2 in 1 Convertible,8,1.6,1,1,165.6321181,Intel Core i5,0,256,Intel,Windows,10.5108023
Dell,Notebook,16,2.36,0,0,141.2119981,Intel Core i7,0,256,AMD,Others,10.77684406
Acer,Notebook,4,2.1,0,0,100.4546699,Intel Core i3,1000,0,Intel,Others,9.941707765
Asus,Notebook,4,2.2,0,0,141.2119981,AMD Processor,1000,128,AMD,Windows,10.32993107
Asus,Gaming,32,4.7,0,0,127.3356746,Intel Core i7,1000,512,Nvidia,Windows,12.24172546
Acer,Gaming,8,2.5,0,1,141.2119981,Intel Core i5,0,256,Nvidia,Windows,10.71608039
Lenovo,Notebook,8,2.2,0,0,100.4546699,Intel Core i3,0,128,Intel,Windows,10.35398721
Asus,Notebook,8,2.1,0,0,127.3356746,Intel Core i7,1000,128,Nvidia,Windows,11.01872094
Asus,Notebook,8,2.69,0,0,127.3356746,Intel Core i7,1000,128,Nvidia,Others,10.76565826
Dell,Gaming,8,2.56,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows,10.75434592
Lenovo,2 in 1 Convertible,8,1.38,1,1,158.4825302,Intel Core i7,0,256,Intel,Windows,10.95935099
Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,2000,128,AMD,Windows,10.86820267
HP,Notebook,8,2.04,1,0,100.4546699,Intel Core i5,1000,0,Intel,Windows,10.3017105
Asus,Gaming,16,3.6,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows,11.9815952
HP,Notebook,4,1.49,0,1,165.6321181,Intel Core i5,500,0,Intel,Windows,10.49027372
Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,512,Intel,Mac,11.59626611
Dell,2 in 1 Convertible,8,2.08,1,1,141.2119981,Intel Core i7,1000,0,Intel,Windows,10.68364511
Asus,Gaming,16,4.3,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,Windows,11.47054726
Asus,Notebook,4,1.68,0,0,100.4546699,AMD Processor,1000,0,AMD,Windows,10.12616379
Lenovo,2 in 1 Convertible,8,1.37,1,1,158.4825302,Intel Core i7,0,512,Intel,Windows,11.49796126
Acer,Notebook,4,3,0,1,127.3356746,Intel Core i3,0,256,Nvidia,Windows,10.52949443
Dell,Ultrabook,8,1.41,0,0,165.6321181,Intel Core i5,0,256,Intel,Windows,10.83096982
HP,Notebook,8,1.91,0,0,100.4546699,AMD Processor,0,128,AMD,Windows,10.07565574
HP,Notebook,16,2.9,0,1,127.3356746,Intel Core i7,1000,0,Nvidia,Windows,10.94064137
MSI,Gaming,16,4.14,0,0,127.3356746,Intel Core i7,1000,512,Nvidia,Windows,11.79920696
Lenovo,2 in 1 Convertible,8,2,1,1,141.2119981,Intel Core i7,0,512,Nvidia,Windows,11.41335615
Dell,Notebook,8,2.8,0,0,127.3356746,Intel Core i7,1000,128,AMD,Windows,11.01609742
Lenovo,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,0,256,Intel,Others,10.07138559
HP,Notebook,4,2.1,0,1,141.2119981,Intel Core i5,500,0,Intel,Windows,10.55758617
